mission,timestamp_met,timestamp_utc,maneuver_name,category,system_boundary,value_raw,unit_raw,value_normalized,unit_normalized,confidence,source_doc,source_section,notes
Apollo 13,,,S-II center engine early cutoff,timeline,upper_stage,132,seconds early,132.0,s,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 8.3,Center engine of S-II shut down ~132 sec early (structural/POGO); remaining 4 engines burned ~34 sec longer than predicted
Apollo 13,0.20833333333333334,1970-04-11 19:25:52,Earth parking orbit insertion,timeline,unknown,102.6 x 100.1,statute miles,,statute miles,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 8.3,"Actual apogee/perigee at insertion; velocity 25,565 ft/sec"
Apollo 13,2.0,1970-04-11 21:13:22,Translunar Injection (TLI),propulsion,upper_stage,1.2,ft/sec,0.36576000000000003,m/s,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 8.5,S-IVB TLI cutoff velocity within 1.2 ft/sec of planned; entry monitor system confirmed within 3 ft/sec
Apollo 13,,,Pericynthion altitude after TLI (pre-midcourse),propulsion,upper_stage,415.8,statute miles,669.1652352000001,km,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 4.0,"High-pericynthion free-return translunar profile achieved by S-IVB targeting, before the first midcourse maneuver lowered it"
Apollo 13,30.0,1970-04-13 01:13:22,First midcourse correction (to non-free-return),propulsion,spacecraft_engine,23.2,ft/sec,7.07136,m/s,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 5.6,"SPS burn, 3.49 sec duration, intentionally placed spacecraft on non-free-return (landing) trajectory"
Apollo 13,,,Cryogenic oxygen tank incident,timeline,unknown,,,,,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 1.0 / 8.7.3,Loud noise / master alarm; oxygen tank 2 pressure loss within ~100 sec; primary electrical power lost
Apollo 13,61.0,1970-04-14 08:13:22,Second midcourse correction (restore free-return),propulsion,spacecraft_engine,34.2 (table) / 38 (narrative text),seconds / ft-per-sec,,seconds / ft-per-sec,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 6.6 / Table 4-III,DPS burn duration 34.2-34.3 sec (NOT the commonly cited '35 seconds'); velocity change reported as 37.8 ft/sec in maneuver table vs 38 ft/sec in narrative text (rounding)
Apollo 13,,,Second midcourse - resultant pericynthion altitude,propulsion,spacecraft_engine,PENDING-OCR,statute miles,,statute miles,TO_BE_RE-VERIFIED,Apollo 13 Mission Report (MSC-02680),Table 4-III,Table 4-III value garbled in OCR extraction (shows partial figures); widely-cited secondary value is ~156 mi / 251 km but this needs verification directly against the table image before use
Apollo 13,,,Predicted landing point if no further burn,timeline,unknown,152,hours MET,,hours MET,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 4.0,Second midcourse alone would have produced Indian Ocean splashdown near Mauritius at ~152 hr
Apollo 13,79.0,1970-04-15 02:13:22,Transearth Injection / PC+2 burn,timeline,unknown,860.5,ft/sec,262.2804,m/s,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 6.6,"DPS burn, 263.8 sec duration (~4.4 min), performed 2 hr after pericynthion; shortened transearth transit by ~9 hr; moved predicted splashdown to Pacific at 142:53:00"
